Sample_ID,Elk_ID,Date_MM_DD_YY,Easting,Northing,Pellets?,Hair?,Time_sample,Time_freezer,Temp_C,RH_Percent,Veg_community,Metres_nearest_pt_1,Metres_nearest_pt_2,Metres_nearest_pt_3,Time_nearest_pt_1,Time_nearest_pt_2,Time_nearest_pt_3,Cluster_date_MM_DD_YY,Beds_within_20m,Notes,Confidence,Rainfall(mm)
ERE25-20190706-01,E25,07-06-2019,679570,5468337,Yes,No,10:00,13:30,26.2,45.3,Aspen oak forest w/ hazel nut ,3.9,5.2,5,12:00,14:00,12:30,07-05-2019,2,Very high confidence. Only saw 2 beds in the area (could have belonged to a calf and cow). Looked like a stop over area on their way further south.,Very high,0
ERE27-20190706-02,E27,07-06-2019,678959,5437695,Yes,No,12:18,13:30,35.2,50,"Wet aspen w/ balsam poplar, willow, and red-osier dogwood ",24.9,31.2,31.2,10:00,9:00,9:30,07-05-2019,5,"Unsure. Many other beds in area, but could have been old beds (many old pellets in area, not many fresh signs). Not near cluster, far from points, sample looks slightly older than 24 hours. ",Unsure,0
ERE16-20190707-01,E16,07-07-2019,677006,5447409,Yes,No,9:22,11:30,18.9,50.7,"Wet aspen forest with willow, red-osier dogwood, bog birch",0.9,2.5,4.4,10:00,11:00,9:30,07-06-2019,0,"No beds observed in area, but forest floor is mostly leaf litter and hard to tell where vegetation would be depressed in a bed",Very high,0
ERE18-20190707-02,E18,07-07-2019,675314,5448188,Yes,No,10:22,11:30,26.4,48,"Wet aspen forest at the edge of shrubby prairie, with willow, red-osier dogwood, shrubby cinquefoil",19.8,25.1,11,12:30,13:00,13:00,07-06-2019,0,"Found along trail between two points close together in time. There was only one point at 13:00, but her points hadn't updated in ~ 24 hours because of wildfire smoke. Could have been more of a cluster within 10 m. Unsure if other elk had been in area recently (normally active area)",High,0
ERE15-20190708-01,E15,07-08-2019,673882,5446263,Yes,No,8:53,12:30,21.5,53,"Aspen-oak forest with gray dogwood, saskatoon, hazelnut",3.2,4.6,5.1,15:30,16:30,16:00,07-07-2019,2,Very active area. Five of collared elk were in the area for the past couple of days,Unsure,0
ERE28-20190708-02,E28,07-08-2019,673885,5446248,Yes,No,9:04,12:30,21.5,53,"Aspen-oak forest with gray dogwood, chokecherry, hawthorn, saskatoon",2.8,4.3,7.3,13:30,10:00,9:00,07-07-2019,2,Very active area. Five of collared elk were in the area for the past couple of days,Unsure,0
ERE29-20190708-03,E29,07-08-2019,674087,5445963,Yes,No,9:44,12:30,24.9,55.6,"Aspen-oak forest with hazelnut, gray dogwood. guelder rose viburnum",5,3.8,11,16:00,16:30,15:00,07-07-2019,2,Less than 1 m from a bed. This is an active area with at least 5  collared elk in the previous day or two ,High,0
ERE32-30190708-04,E32,07-08-2019,673910,5446041,Yes,No,10:03,12:30,31.4,53.4,Wet aspen forest at the edge of open wet area/shrub swamp,11.9,12.1,12.3,10:00,9:00,9:30,07-07-2019,0,Many other individuals in the area. Looks like foraging area.,Unsure,0
ERE23-20190711-01,E23,07-11-2019,675994,5450858,Yes,No,12:09,13:40,31.1,57.2,"Wet aspen forest at edge of drier aspen-oak forest with willow, bog birch, meadowsweet",3.4,3,3.6,17:00,16:30,16:00,07-10-2019,0,"No evidence of elk activity in the immediate area. Sample doesn't look rained on, but lots of rain the previous two days and stanfing water on the ground. Sample looked somewhat wet in the bag, likely from the wet ground",Very high,0
ERE21-20190712-01,E21,07-12-2019,671936,5451964,Yes,No,9:54,12:40,23.8,59.6,"Wet meadow swamp, some distrubance, previously grazed. Willow, balsam poplar",2.7,3.2,3.5,14:30,15:00,16:00,07-11-2019,2," Very high confidence. 2 beds in drier area further north ( could be her and calf) Very wet from several inches of rain in previous few days. Standing water on ground , rain also fell previous evening.",Very high,10
ERE29-20190712-02 ,E29,07-12-2019,675631,5447319,Yes,No,12:05,12:40,24.7,56.4,"Aspen oak forest, hazelnut, chokecherry, downy arrowwood",6.1,7.7,10,20:30,19:30,21:00,07-11-2019,1,"High confidence. Some rain previous evening, sample may have been rained on. ",High,10
ERE19-20190715-01,E19,07-15-2019,674119,5446158,Yes,No,6:27,9:50,19.9,67.7,"Aspen oak forest, hazelnut, saskatoon, red-osterdogwood ",3.9,3.4,4.4,14:30,17:30,17:00,07-14-2019,0,"High confidence, sample looks possibly newer than 18 hours. May have gotten wet from fog the night before, most vegetation in forest wet. ",High,0
ERE15-20190715-02,E15,07-15-2019,674540,5446190,Yes,No,7:09,9:50,21.7,70.6,"Wet aspen forest, balsam poplar, maple, hazelnut. Next to river  ",1.5,3.7,2.7,17:30,17:00,12:00,07-14-2019,2,"Unsure, very active area. She was in the area for several hours, but points are spread out. Smaple also may have goteen wet from dew the night before. ",Unsure,0
ERE28-20190715-03,E28,07-15-2019,674583,5446173,Yes,No,7:30,9:50,22.6,72.8,"Aspen oak forest, at edge of a river, balsam poplar, grey-dogwood, high bush cranberry ",0.9,4.4,5,13:00,15:00,16:00,07-14-2019,0,"Active area, saw at least one other sample in the cluster. Wide cluster. Does not look wet, but maybe damp from fog previous evening. ",Unsure,0
ERE18-20190716-01,E18,07-16-2019,674133,5446086,Yes,No,9:01,11:20,19.5,65.8,"Aspen oak forest with hazelnut, saskatoon, gray dogwood",5.4,6.1,6.1,12:00,12:30,11:30,07-15-2019,2,"Active area, a number of trails and many collared elk known to use the property. Looks like sample may have been rained on or gotten wet from residual rain the day before",Unsure,10
ERE29-20190716-02,E29,07-16-2019,674187,5446074,Yes,No,9:23,11:20,20.9,64.8,Aspen oak forest with grey dogwood and hazelnut,7.6,9.4,6.3,14:00,13:30,14:30,07-15-2019,1,Active property. Large amount of rain the day before and may have gotten residually wet,High,10
ERE16-20190716-03,E16,07-16-2019,675893,5447383,Yes,No,10:20,11:20,26.9,60.2,"Mature aspen oak forest with balsam poplar, pin cherry, hazelnut, and grey dogwood",6.7,11,15.1,12:30,11:30,12:00,07-15-2019,0,Points are spread apart but her sample is in the middle of them. May have been rained on or gotten wet from residual rain the day before.,High,10
ERE21-20190717-01,E21,07-17-2019,672748,5451795,Yes,No,6:34,8:40,19,54.5,"Edge of aspen-oak forest, with tame species (clover, KBG and aspen encroachment) ",1.2,1.9,1.5,16:00,17:00,16:30,07-16-2019,1,"Very high, <1m from bed, dew on ground from night before, sample somewhat damp",Very high,0
ERE23-20190717-02,E23,07-17-2019,672548,5451888,Yes,No,7:04,8:40,17.8,62.1,"Tall shrub land, (wilow, balsam poplar, red-oster dogwood)",1,7.3,8.2,13:30,11:30,12:30,07-17-2019,0,"High confidence, sample in water but not submerged. May have gotten wet from dew from the night before.",High,0
ERE27-20190720-01,E27,07-20-2019,682412,5436423,Yes,No,16:25,17:15,30.4,53,"Wet aspen forest with young oak, meadowsweet, red-osier dogwood, and willow",5,15.2,17.9,19:30,18:00,17:30,07-19-2019,4,Looks like active area but very few recent pellets. Sample looks older (dried on top) but fresh and green underneath. Not sure if it would become that sunbaked in less than 24 hours.,Unsure,0
ERE32-20190721-02,E32,07-21-2019,675365,5448200,Yes,No,11:05,12:25,25.4,56.6,"At edge of wet aspen forest, willow swamp, and wet shrub prairie. With balsam poplar, willow, red-osier dogwood, and wild rose.",1.5,1.9,6.5,7:30,7:00,8:00,07-21-2019,0,Approximately 1 m from a bed. Sample looks very fresh.,Very high,0
ERE21-20190722-01,E21,07-22-2019,673383,5450260,Yes,No,10:17,11:55,21.6,55.9,"Tall shrubland, (Aspen < 3m), willow ",3.1,5.8,8,13:30,14:30,15:00,07-21-2019,0,"High confidence, right next to bed, < 1m away ",High,0
ERE18-20190722-02,E18,07-22-2019,673316,5450256,Yes,No,10:36,11:55,31.6,54.1,"Wet prarie/ meadow with high aspen encroachment. (hawthron, willow in area) ",11.9,12.5,7.2,17:30,18:30,19:00,07-21-2019,1,"Unsure, on trail within cluster area but relativley far from any points. Active area. ",Unsure,0
ERE29-20190722-03,E29,07-22-2019,672914,5450343,Yes,No,10:54,11:55,30.1,46.5,"Tall shrubland, w/ aspen, willow, balsam poplar, red-oster dogwood, gooseberry.",2.6,2.5,4,18:30,18:00,17:30,07-21-2019,2,"High confidence, active area, sample next to bed (<1m)",High,0
ERE20-20190723-01,E20,07-23-2019,673729,5456782,Yes,No,11:17,12:30,25.8,51.2,"Tall shrubland, w/ aspen, willow, balsam poplar, red-oster dogwood.",6.1,10,13,19:00,18:00,18:30,07-22-2019,2,"Very high confidence, found on trail, probably foraging. Does not look like a very active area, saw no other pellets within 500m.",Very high,0
ERE15-20190727-01,E15,07-27-2019,675806,5446910,Yes,No,10:22,12:00,22.6,54.7,"In wet are of aspen-oak forest with balsam poplar, red-osier dogwood, currants, and hazelnut",16,20,24,6:30,7:30,7:00,07-27-2019,0,"Very fresh sample, along foraging trail in wet area, far from points but doesn't necessarily look like bedsite cluster (more likely slowly foraging). Saw a collared female in the area with two calves around the time of sample collection, and E15 and E19 were also in the area",Unsure,0
ERE16-20190727-02,E16,07-27-2019,675639,5447230,Yes,No,11:20,12:00,24,56.3,"Aspen-oak forest with hazelnut, saskatoon, guelder-rose viburnum",32,35,35,7:00,8:30,8:00,07-27-2019,0,"Very fresh sample, in active area, saw 4 cow elk and 7 calves nearby about 30 minutes earlier. Sample relatively far from cluster, but she entered the bush from the adjacent field near this spot",Unsure,0
