Sample_ID,Elk_ID,Date_MM_DD_YY,Easting,Northing,Pellets?,Hair?,Time_sample,Time_freezer,Temp_C,RH_Percent,Veg_community,Metres_nearest_pt_1,Metres_nearest_pt_2,Metres_nearest_pt_3,Time_nearest_pt_1,Time_nearest_pt_2,Time_nearest_pt_3,Cluster_date_MM_DD_YY,Beds_within_20m,Notes,Confidence,Rainfall(mm)
ERE19-20190527-6,E19,05-27-2019,675216,5445953,Yes,Yes,14:30,16:15,28.1,35.3,Aspen oak forest,2,2,3,8:30,9:00,7:30,05-26-2019,1,"Very high confidence, pellets sitting in sun, dry on top",Very high,0
ERE15-20190529-2,E15,05-29-2019,677922,5451976,Yes,Yes,13:07,16:30,32.9,30.3,Aspen oak forest edge,4,13,23,22:00,22:30,23:30,05-28-2019,0,Tracking elk in area for calf. Seems to have visited a few times and fairly confident she is alone,Very high,0
ERE28-20190530-1,E28,05-30-2019,675304,5446050,No,Yes,8:16,,,,"Aspen oak with hazal, saskatoon and chokecherry",4,7,8,17:00,16:30,16:00,05-29-2019,1,"High confidence, likely ERE28 but could be deer, lots of intersecting trails ",High,0
ERE28-20190530-2,E28,05-30-2019,675310,5446141,No,Yes,8:28,,,,"Open aspen, close to edge of field, Willow, dogwood, bog birch in area ",3.9,6.8,6.1,15:30,20:30,21:00,05-29-2019,0,"Very high confidence, evidence of browsing ",Very high,0
ERE28-20190530-4,E28,05-30-2019,675093,5446290,Yes,Yes,8:53,12:50,19.8,38.4,"Aspen oak, chikecherry, hazel, some deadfall in area ",5,7,8,14:00,14:30,13:30,05-29-2019,0,"High confidence, hair found over potential bed, pellets found within 3m of hair",High,0
ERE16-20190530-5,E16,05-30-2019,675906,5450473,Yes,No,10:03,12:50,23,41.1,"Wet aspen forest, willow and hazelnut in area ",6.1,8.1,10.9,18:00,17:00,15:30,05-29-2019,2,"Unsure, multiplebeds in area, many lek trails, sample found on trail not beddsite ",Unsure,0
ERE16-20190530-6,E16,05-30-2019,675828,5450524,Yes,Yes,10:20,12:50,21.6,29.6,"Wet aspen forest, oak, bog birch, and willow in th area ",2,5.6,11.2,13:30,14:00,13:00,05-29-2019,4,"High confidence, hair found in bed and in tree above bed, pellets found withig 1m of potential bed ",High,0
ERE15-20190531-02,E15,05-31-2019,674340,5445853,Yes,No,10:21,13:00,24.8,35.2,"Aspen, Oak, Dogwood",14.8,15.2,18.2,11:00,12:30,11:30,05-31-2019,1,"Very high, saw collared female in arean and she had later points surrounding at ~10 am. The poop is fresh. Did not have current points for distance reference. Points added later using QGIS",Very high,0
ERE19-20190531-03,E19,05-31-2019,675950,5446834,No,Yes,14:37,16:45,,,"Aspen, Oak, Hazel, Chokecherry, Saskatoon ",1,9,10,14:00,14:30,13:30,05-30-2019,0,Very high; hair found in tree over probable bed likely E19,Very high,0
ERE28-20190531-05,E28,05-31-2019,675922,5448679,No,Yes,14:51,,,,"Aspen, Oak, Chokecherry, Saskatoon, Hazel",1,2,2,17:00,16:30,18:00,05-30-2019,0,Found in bed in centre of 3 points: all from E28. E19 also in the area however.,Very high,0
